DATA,LINHA,MARCA,PRODUTO,QTD.,TOTAL
02/01/2020,AUDIO E VIDEO,FUJI,FUJI - CAMERA INSTAX MINI 9 BRANCO GELO,1,"369,90"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 50 TC50GX500B SMART 4K UHD LED,1,"1.999,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 FS600B BLUETOOTH,1,"999,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,LG,LG - CELULAR K11 PLUS X410 AZUL,1,"899,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - CAIXA AMPLIFICADA CA335 RECARREGAVEL,1,"349,00"
02/01/2020,AUDIO E VIDEO,HP,HP - CALC. CIENTIFICA HP 10 S,1,"54,95"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 50 UM7500,1,"2.399,00"
02/01/2020,AUDIO E VIDEO,PHILCO,PHILCO - TV 43 E60SN SMART TV,1,"1.499,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,1,"899,00"
02/01/2020,AUDIO E VIDEO,MULTILASER,MULTILASER - DVD PLAYER SP252,1,"119,90"
02/01/2020,AUDIO E VIDEO,CANON,CANON - BOLSA 300DG,1,"299,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,1,"899,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 VERMELHO,1,"899,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 AZUL,1,"1.299,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 50 TC50GX500B SMART 4K UHD LED,2,"3.998,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 32 LK615BPSB WEB OS,1,"1.100,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 FS600B BLUETOOTH,1,"920,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A20 32GB A205 PRETO,1,"1.099,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 AZUL,2,"2.398,00"
02/01/2020,CELULARES,MOTOROLA,MOTOROLA - MOTO G7 PLAY 32GB XT1952 INDIGO,1,"999,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY S9 PLUS G965 CINZA,1,"3.200,00"
02/01/2020,CELULARES,MULTILASER,MULTILASER - CEL MS50L P9051 GRAFITE,1,"399,00"
02/01/2020,AUDIO E VIDEO,FUJI,FUJI - FILME INSTAX MINI PACK20,1,"79,95"
02/01/2020,AUDIO E VIDEO,GRADIENTE,GRADIENTE - SPEAKER GMP 104 MEU PRIMEIRO GRADIENTE,1,"349,00"
02/01/2020,AUDIO E VIDEO,HP,HP - CALC. FINANCEIRA HP 12 C GOLD,1,"319,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,1,"899,00"
02/01/2020,CELULARES,MOTOROLA,MOTOROLA - MOTO G7 PLAY 32GB XT1952 INDIGO,1,"999,00"
02/01/2020,AUDIO E VIDEO,PIONEER,PIONEER - MEDIA RECEIVER MVH-S218BT,1,"299,00"
02/01/2020,AUDIO E VIDEO,MOTOBRAS,MOTOBRAS - RADIO RM-PF 34 5 FAIXAS,1,"161,40"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO3C PRETO,1,"0,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,2,"198,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A30 A305 AZUL,1,"1.299,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR S509 TWIST 2 FIT CINZA,1,"399,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,3,"297,90"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A20 32GB A205 PRETO,1,"1.099,00"
02/01/2020,CELULARES,LG,LG - CELULAR LG K9 X210 DOURADO RCELL,1,"699,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY A10 32GB A105 PRETO,3,"2.697,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - CAIXA AMPLIFICADA CA325 RECARREGAVEL,1,"279,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 24 MONITOR MT49S-PS SMART WEBOS,1,"949,00"
02/01/2020,INFORMATICA,HP,HP - IMPRESSORA DESKJET INK ADVANTAGE 2676 Y5Z00A,1,"299,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,1,"999,00"
02/01/2020,AUDIO E VIDEO,PHILCO,PHILCO - TV 43 E60SN SMART TV,1,"1.399,00"
02/01/2020,CELULARES,RED MOBILE,RED MOBILE - CELULAR RED MOBILE MEGA M010F PRETO VERMELHO,1,"189,05"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J4 CORE J410 PRETO,1,"799,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - CAIXA PORTATIL AMPLIFICADA CA100,2,"458,00"
02/01/2020,AUDIO E VIDEO,PIONEER,PIONEER - MEDIA RECEIVER MVH-S218BT,1,"299,00"
